deal_qualilty,hyperlink,mile,name,object,other_attributes,price,self.year
GOOD DEAL,https://www.cars.com/vehicledetail/detail/708580509/overview/,"33,706 mi.",2014 Jeep Compass Latitude,,"Exterior Color: Maximum Steel Metallic,Interior Color: Dark Slate Gray,Transmission: Automatic,Drivetrain: 4WD","$14,995",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/711049363/overview/,"35,252 mi.",2014 Honda CR-V EX,,"Exterior Color: Black,Interior Color: Black,Transmission: 5-Speed Automatic,Drivetrain: AWD","$18,495",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/719664029/overview/,"25,545 mi.",2014 Jeep Patriot Latitude,,"Exterior Color: Billet Silver Metallic Clearcoat,Interior Color: Dark Slate Gray,Transmission: Automatic,Drivetrain: 4WD","$16,495",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/711260794/overview/,"29,481 mi.",2014 Jeep Patriot Latitude,,"Exterior Color: Rugged Brown Pearlcoat,Interior Color: Light Pebble Beige / Dark Slate Gra,Transmission: Automatic,Drivetrain: 4WD","$15,995",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/720125539/overview/,"24,670 mi.",2014 Jeep Compass Latitude,,"Exterior Color: Billet Silver Metallic Clearcoat,Interior Color: Dark Slate Gray,Transmission: Automatic,Drivetrain: 4WD","$15,495",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/712949626/overview/,"19,322 mi.",2014 Jeep Cherokee Latitude,,"Exterior Color: Brilliant Black Crystal Pearlcoat,Interior Color: Black,Transmission: 9-Speed Automatic,Drivetrain: 4WD","$18,495",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/712949620/overview/,"26,532 mi.",2014 Jeep Cherokee Latitude,,"Exterior Color: Billet Silver Metallic Clearcoat,Interior Color: Black / Iceland Gray,Transmission: 9-Speed Automatic,Drivetrain: FWD","$16,495",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/723561607/overview/,"58,692 mi.",2014 Honda CR-V LX,,"Exterior Color: Crystal Black Pearl,Interior Color: Black,Transmission: 5-Speed Automatic,Drivetrain: AWD","$14,599",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/723686808/overview/,"49,596 mi.",2014 Honda CR-V LX,,"Exterior Color: Polished Metal Metallic,Interior Color: Gray,Transmission: 5-Speed Automatic,Drivetrain: AWD","$14,999",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/710749347/overview/,"29,242 mi.",2014 Ford Escape Titanium,,"Exterior Color: Black,Interior Color: Medium Light Stone,Transmission: 6-Speed Automatic w/OD,Drivetrain: Four Wheel Drive","$18,900",2014
FAIR PRICE,https://www.cars.com/vehicledetail/detail/729551502/overview/,"61,803 mi.",2014 Jeep Compass Latitude,,"Exterior Color: Black,Interior Color: Black,Transmission: Automatic,Drivetrain: 4WD","$13,981",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/727206628/overview/,"44,958 mi.",2014 Nissan Rogue Select S,,"Exterior Color: Platinum Graphite,Transmission: xtronic cvt automatic,Drivetrain: All Wheel Drive","$13,177",2014
NOT A GOOD DEAL,https://www.cars.com/vehicledetail/detail/726788132/overview/,"36,178 mi.",2014 Jeep Compass Latitude,,"Exterior Color: Red,Interior Color: Black,Transmission: Automatic,Drivetrain: 4WD","$13,299",2014
